an,tip,segment,venituri_externe,profit_inainte_impozit_segment,cheltuieli_angajati_segment,apa_uzinata_segment,taxa_producatori_segment,amortizare_segment,energie_achizitionata_segment
2023,consolidat,Producere,7224607661,5879788314,712678730,639205702,225159036,799241630,456162844.0
2023,consolidat,Furnizare,4935575996,1579339068,15766741,0,0,71537,
2024,consolidat,Producere,5521040247,4316358372,840497075,517805427,234654212,904885224,208848067.0
2024,consolidat,Furnizare,3601668896,528236661,25832863,0,0,82889,
2025,consolidat,Producere,4114995303,2978521016,991984475,444764067,122721182,881386790,911358305.0
2025,consolidat,Furnizare,5504014226,944186296,27766663,0,0,1492004,
2023,individual,Producere,7223459411,5863609495,589196101,639205702,225159036,795281892,456162844.0
2023,individual,Furnizare,4935913933,1579339068,15766741,0,0,71537,
2024,individual,Producere,5520163184,4103255268,650722043,517805427,234654212,896008456,208848067.0
2024,individual,Furnizare,3602985676,528236661,25832863,0,0,82889,
2025,individual,Producere,4112373887,2936202840,750718731,444764067,122721182,870446020,911358305.0
2025,individual,Furnizare,5510421144,944186296,27766663,0,0,1492004,
